2,14,2+27+28+29+30+31+32+48+38+15+14,12.5,
2,15,2+27+28+29+30+31+32+48+38+15,12.5,
2,38,2+27+28+29+30+31+32+48+38,12.5,
2,39,2+1+39,4,
2,40,2+1+39+40,8.6,
2,41,2+1+39+40+41,10.5,
2,53,2+1+39+40+41+53,10.5,
2,42,2+1+39+40+41+53+21+42,12.5,
2,54,2+1+39+40+41+53+21+42+46+42+54,17.9,
2,55,2+1+39+40+41+53+21+42+46+42+54+55,22.9,
2,43,2+1+39+40+41+53+21+42+46+42+54+43,19.8,
2,48,2+27+28+29+30+31+32+48,12.5,
2,49,2+27+28+29+30+31+32+48+49,12.5,
2,50,2+27+28+29+30+31+32+48+49+50,12.5,
2,51,2+27+28+29+30+31+32+48+49+50+51,12.5,
2,52,2+27+28+29+30+31+32+48+49+50+51+52,12.5,
2,57,2+27+28+29+30+31+32+48+49+50+57,12.5,
2,120,2+3+80+111+53+20+114+115+116+117+118+119+120,24.1,
2,119,2+3+80+111+53+20+114+115+116+117+118+119,24.1,
2,118,2+3+80+111+53+20+114+115+116+117+118,24.1,
2,117,2+3+80+111+53+20+114+115+116+117,24.1,
2,116,2+3+80+111+53+20+114+115+116,24.1,
2,115,2+3+80+111+53+20+114+115,23,
2,114,2+3+80+111+53+20+114,14.3,
2,111,2+3+80+111,8.6,
2,78,2+3+4+5+6+16+7+8+67+68+69+71+72+73+74+75+78,43,76.5
2,76,2+3+4+5+6+16+7+8+67+68+69+71+72+73+74+75+76,43,76.5
2,75,2+3+4+5+6+16+7+8+67+68+69+71+72+73+74+75,17.9,26.8
2,74,2+3+4+5+6+16+7+8+67+68+69+71+72+73+74,17.9,26.8
2,73,2+3+4+5+6+16+7+8+67+68+69+71+72+73,16,23.9
2,72,2+3+4+5+6+16+7+8+67+68+69+71+72,16,23.9
2,71,2+3+4+5+6+16+7+8+67+68+69+71,14.7,21
2,70,2+3+4+5+6+16+7+8+67+68+70,21,32.8
2,69,2+3+4+5+6+16+7+8+67+68+69,14.1,19.9
2,68,2+3+4+5+6+16+7+8+67+68,13.7,19.1
2,67,2+3+4+5+6+16+7+8+67,13.7,19.1
2,65,2+3+80+64+65,10.2,13.6
2,64,2+3+80+64,10,
2,80,2+3+80,8.6,
2,96,2+3+4+5+6+16+7+8+67+96,13.8,19.2
2,97,2+3+4+5+6+16+7+8+67+96+97,13.8,19.2
2,98,2+3+4+5+6+16+7+8+67+96+97+98,13.8,19.2
2,99,2+3+4+5+6+16+7+8+67+96+97+98+99,13.8,19.2
2,100,2+3+4+5+6+16+7+8+67+96+97+98+99+100,16.6,22
2,101,2+3+4+5+6+16+7+8+67+96+97+98+99+100+101,16.6,22
2,102,2+3+4+5+6+16+7+8+67+96+97+98+99+100+101+102,16.6,22
2,103,2+3+4+5+6+16+7+8+67+96+97+98+99+100+101+102+103,16.6,22
2,39,2+1+39,4,
2,40,2+1+39+40,8.6,
2,42,2+1+39+40+41+53+21+42,12.5,
2,47,2+1+44+45+46+47,,
2,56,2+1+44+45+46+47+56,,
27,26,27+2+1+26,4.9,
27,1,27+2+1,4,
27,2,27+2,4,
27,28,27+28,4,
27,29,27+28+29,4,
27,30,27+28+29+30,4.9,
27,31,27+28+29+30+31,4.9,
27,32,27+28+29+30+31+32,5.9,
27,33,27+28+29+30+31+32+33,5.9,
27,34,27+28+29+30+31+32+33+34,7.3,
27,35,27+28+29+30+31+32+33+34+35,7.3,
27,36,27+28+29+30+31+32+33+34+35+36,7.3,
27,37,27+28+29+30+31+32+33+34+35+36+37,7.3,
27,3,27+2+3,8.6,
27,4,27+2+3+4,8.6,
27,5,27+2+3+4+5,10.5,
27,6,27+2+3+4+5+6,10.5,
27,16,27+2+3+4+5+6+16,10.5,
27,17,27+2+3+4+5+6+16+17,10.5,
27,18,27+2+3+4+5+6+16+17+18,10.5,
27,19,27+2+3+4+5+6+16+17+18+19,12.5,
27,20,27+2+3+4+5+6+16+17+18+19+20,12.5,
27,21,27+2+1+39+40+41+53+21,12.5,
27,22,27+2+3+4+5+6+16+17+18+19+20+21+22,12.5,
27,23,27+2+3+4+5+6+16+17+18+19+20+21+22+23,12.5,
27,24,27+2+3+4+5+6+16+17+18+19+20+21+22+23+24,12.5,
27,25,27+2+3+4+5+6+16+17+18+19+20+21+22+23+24+25,12.5,
27,7,27+2+3+4+5+6+16+7,10.5,
27,8,27+2+3+4+5+6+16+7+8,10.5,
27,9,27+2+3+4+5+6+16+7+8+9,12.5,
27,10,27+2+3+4+5+6+16+7+8+9+10,12.5,
27,11,27+2+3+4+5+6+16+7+8+9+10+11,12.5,
27,12,27+2+3+4+5+6+16+7+8+9+10+11+12,12.5,
27,13,27+28+29+30+31+32+48+38+15+14+13,12.5,
27,14,27+28+29+30+31+32+48+38+15+14,10.5,
27,15,27+28+29+30+31+32+48+38+15,10.5,
27,38,27+28+29+30+31+32+48+38,10.5,
27,39,27+2+1+39,4,
27,40,27+2+1+39+40,8.6,
27,41,27+2+1+39+40+41,10.5,
27,53,27+2+1+39+40+41+53,10.5,
27,42,27+2+1+39+40+41+53+21+42,12.5,
27,54,27+2+1+39+40+41+53+21+42+46+42+54,17.9,
27,55,27+2+1+39+40+41+53+21+42+46+42+54+55,22.9,
27,43,27+2+1+39+40+41+53+21+42+46+42+54+43,19.8,
27,48,27+28+29+30+31+32+48,10.5,
27,49,27+28+29+30+31+32+48+49,12.5,
27,50,27+28+29+30+31+32+48+49+50,12.5,
27,51,27+28+29+30+31+32+48+49+50+51,12.5,
27,52,27+28+29+30+31+32+48+49+50+51+52,12.5,
27,57,27+28+29+30+31+32+48+49+50+57,12.5,
27,120,27+2+3+80+111+53+20+114+115+116+117+118+119+120,24.1,
27,119,27+2+3+80+111+53+20+114+115+116+117+118+119,24.1,
27,118,27+2+3+80+111+53+20+114+115+116+117+118,24.1,
27,117,27+2+3+80+111+53+20+114+115+116+117,24.1,
27,116,27+2+3+80+111+53+20+114+115+116,24.1,
27,115,27+2+3+80+111+53+20+114+115,23,
27,114,27+2+3+80+111+53+20+114,14.3,
27,111,27+2+3+80+111,8.6,
27,78,27+2+3+4+5+6+16+7+8+67+68+69+71+72+73+74+75+78,43,76.5
27,76,27+2+3+4+5+6+16+7+8+67+68+69+71+72+73+74+75+76,43,76.5
27,75,27+2+3+4+5+6+16+7+8+67+68+69+71+72+73+74+75,17.9,26.8
27,74,27+2+3+4+5+6+16+7+8+67+68+69+71+72+73+74,17.9,26.8
27,73,27+2+3+4+5+6+16+7+8+67+68+69+71+72+73,16,23.9
27,72,27+2+3+4+5+6+16+7+8+67+68+69+71+72,16,23.9
27,71,27+2+3+4+5+6+16+7+8+67+68+69+71,14.7,21
27,70,27+2+3+4+5+6+16+7+8+67+68+70,21,32.8
27,69,27+2+3+4+5+6+16+7+8+67+68+69,14.1,19.9
27,68,27+2+3+4+5+6+16+7+8+67+68,13.7,19.1
27,67,27+2+3+4+5+6+16+7+8+67,13.7,19.1
27,65,27+2+3+80+64+65,10.2,13.6
27,64,27+2+3+80+64,10,
27,80,27+2+3+80,8.6,
27,96,27+2+3+4+5+6+16+7+8+67+96,13.8,19.2
27,97,27+2+3+4+5+6+16+7+8+67+96+97,13.8,19.2
27,98,27+2+3+4+5+6+16+7+8+67+96+97+98,13.8,19.2
27,99,27+2+3+4+5+6+16+7+8+67+96+97+98+99,13.8,19.2
27,100,27+2+3+4+5+6+16+7+8+67+96+97+98+99+100,16.6,22
27,101,27+2+3+4+5+6+16+7+8+67+96+97+98+99+100+101,16.6,22
27,102,27+2+3+4+5+6+16+7+8+67+96+97+98+99+100+101+102,16.6,22
27,103,27+2+3+4+5+6+16+7+8+67+96+97+98+99+100+101+102+103,16.6,22
27,39,27+2+1+39,4,
27,40,27+2+1+39+40,8.6,
27,42,27+2+1+39+40+41+53+21+42,12.5,
27,47,27+2+1+44+45+46+47,,
27,56,27+2+1+44+45+46+47+56,,
28,26,28+27+2+1+26,4.9,
28,1,28+27+2+1,4.9,
28,2,28+27+2,4,
28,27,28+27,4,
28,29,28+29,4,
28,30,28+29+30,4,
28,31,28+29+30+31,4.9,
28,32,28+29+30+31+32,4.9,
28,33,28+29+30+31+32+33,5.9,
28,34,28+29+30+31+32+33+34,5.9,
28,35,28+29+30+31+32+33+34+35,7.3,
28,36,28+29+30+31+32+33+34+35+36,7.3,
28,37,28+29+30+31+32+33+34+35+36+37,7.3,
28,3,28+27+2+3,10.5,
28,4,28+27+2+3+4,10.5,
28,5,28+27+2+3+4+5,10.5,
28,6,28+27+2+3+4+5+6,10.5,
28,16,28+27+2+3+4+5+6+16,10.5,
28,17,28+27+2+3+4+5+6+16+17,10.5,
28,18,28+27+2+3+4+5+6+16+17+18,10.5,
28,19,28+27+2+3+4+5+6+16+17+18+19,12.5,
28,20,28+27+2+3+4+5+6+16+17+18+19+20,12.5,
28,21,28+27+2+1+39+40+41+53+21,12.5,
28,22,28+27+2+3+4+5+6+16+17+18+19+20+21+22,12.5,
28,23,28+27+2+3+4+5+6+16+17+18+19+20+21+22+23,12.5,
28,24,28+27+2+3+4+5+6+16+17+18+19+20+21+22+23+24,12.5,
28,25,28+27+2+3+4+5+6+16+17+18+19+20+21+22+23+24+25,12.5,
28,7,28+27+2+3+4+5+6+16+7,10.5,
28,8,28+27+2+3+4+5+6+16+7+8,10.5,
28,9,28+27+2+3+4+5+6+16+7+8+9,12.5,
28,10,28+27+2+3+4+5+6+16+7+8+9+10,12.5,
28,11,28+27+2+3+4+5+6+16+7+8+9+10+11,12.5,
28,12,28+29+30+31+32+48+38+15+14+13+12,12.5,
28,13,28+29+30+31+32+48+38+15+14+13,10.5,
28,14,28+29+30+31+32+48+38+15+14,10.5,
28,15,28+29+30+31+32+48+38+15,10.5,
28,38,28+29+30+31+32+48+38,10.5,
28,39,28+27+2+1+39,4.9,
28,40,28+27+2+1+39+40,10.5,
