01-JAN-2000 00.00.00,01-JAN-2100 00.00.00,0,LR Tuen Mun,,10,0,120,,4,1800000,-1,-1,-1,-1,-1,Y,R,N,"10,011,002"
01-JAN-2000 00.00.00,01-JAN-2100 00.00.00,0,LR Tin Shui Wai,,10,0,118,,4,1800000,-1,-1,-1,-1,-1,Y,R,N,"10,041,005"
01-JAN-2000 00.00.00,01-JAN-2100 00.00.00,0,LR Siu Hong,,10,0,119,,4,1800000,-1,-1,-1,-1,-1,Y,R,N,1003
01-JAN-2000 00.00.00,01-JAN-2100 00.00.00,0,LR Yuen Long,,10,0,116,,4,1800000,-1,-1,-1,-1,-1,Y,R,N,1006
01-JAN-2000 00.00.00,01-JAN-2100 00.00.00,62,ADULTRULE1,23,10,1,"2,3,4,102","5,6,7,120",1,3600000,10,25200,72000,0,70200,N,G,Y,
01-JAN-2000 00.00.00,01-JAN-2100 00.00.00,62,ADULTRULE2,23,10,1,"2,3,4,102","5,6,7,120",1,3600000,10,25200,72000,0,70200,N,G,Y,
01-JAN-2000 00.00.00,01-JAN-2100 00.00.00,62,ADULTRULE3,23,10,1,"2,3,4,102","5,6,7,120",1,3600000,10,25200,72000,0,70200,N,G,Y,
01-JAN-2000 00.00.00,01-JAN-2100 00.00.00,62,ADULTRULE4,23,10,1,"2,3,4,102","5,6,7,120",1,3600000,10,25200,72000,0,70200,N,G,Y,
01-JAN-2000 00.00.00,01-JAN-2100 00.00.00,62,ADULTRULE5,23,10,1,"2,3,4,102","5,6,7,120",1,3600000,10,25200,72000,0,70200,N,G,Y,
01-JAN-2000 00.00.00,01-JAN-2100 00.00.00,62,ADULTRULE6,23,10,1,"2,3,4,102","5,6,7,120",1,3600000,10,25200,72000,0,70200,N,G,Y,
01-JAN-2000 00.00.00,01-JAN-2100 00.00.00,62,ADULTRULE7,23,10,1,"2,3,4,102","5,6,7,120",1,3600000,10,25200,72000,0,70200,N,G,Y,
01-JAN-2000 00.00.00,01-JAN-2100 00.00.00,62,ADULTRULE8,23,10,1,"2,3,4,102","5,6,7,120",1,3600000,10,25200,72000,0,70200,N,G,Y,
01-JAN-2000 00.00.00,01-JAN-2100 00.00.00,62,ADULTRULE9,23,10,1,"2,3,4,102","5,6,7,120",1,3600000,10,25200,72000,0,70200,N,G,Y,
